day_number,collision_date,num_collisions,weather_date,temperature,dew_point,sea_level_pressure,visibility,wind_speed,max_sustained_wind_speed,max_wind_gust,max_temperature,min_temperature,total_precipitation,snow_depth,fog_occurred
7,2013-01-27,429,2013-01-27,24.5,7.5,1030.3,10.0,5.6,9.9,15.9,34.0,19.0,0.0,2.0,0
2,2014-01-07,491,2014-01-07,12.3,-8.0,1015.6,999.9,13.0,19.0,31.1,36.0,3.9,0.27,1.2,0
1,2014-01-06,518,2014-01-06,45.6,39.8,1002.6,3.6,6.3,11.1,22.9,55.0,35.6,0.23,3.9,1
2,2014-01-28,504,2014-01-28,17.8,-7.2,1023.8,10.0,6.5,12.0,22.0,26.1,12.9,0.0,3.1,0
4,2014-02-06,569,2014-02-06,27.3,18.7,1020.4,9.5,4.9,8.0,14.0,33.1,21.2,1.43,9.1,0
4,2014-02-13,447,2014-02-13,29.9,24.8,1014.2,3.6,10.6,19.0,33.0,36.0,12.9,0.25,9.8,1
2,2014-02-04,613,2014-02-04,28.3,20.9,1028.4,3.8,2.1,6.0,999.9,42.8,21.9,0.84,1.2,0
1,2014-03-10,513,2014-03-10,42.3,18.9,1009.9,9.7,4.7,9.9,24.1,51.1,35.6,0.0,2.0,0
4,2014-01-30,657,2014-01-30,21.2,0.2,1027.9,10.0,3.1,8.9,18.1,30.0,14.0,0.0,2.0,0
7,2014-03-02,344,2014-03-02,36.9,17.9,1018.5,9.8,3.4,8.0,999.9,39.9,35.1,0.0,5.9,0
7,2014-02-23,414,2014-02-23,48.6,26.0,1014.8,10.0,4.1,6.0,17.1,54.0,39.9,0.0,9.8,0
4,2014-03-06,558,2014-03-06,24.5,4.1,1033.6,10.0,8.1,11.1,19.0,39.0,16.0,0.0,3.9,0
4,2021-02-25,269,2021-02-25,46.0,23.5,1014.8,10.0,8.2,13,27.0,54.0,39.0,0.0,2.0,0
3,2021-02-17,239,2021-02-17,29.7,8.8,1022.8,10.0,7.4,14,24.1,51.1,21.9,0.02,5.9,0
3,2021-02-10,279,2021-02-10,29.4,16.3,1025.2,9.5,3.9,7,999.9,35.1,26.1,0.0,9.1,0
4,2021-02-11,299,2021-02-11,29.5,18.5,1024.5,7.3,5,8.9,999.9,34.0,26.1,0.11,9.1,1
2,2021-02-23,240,2021-02-23,38.8,29.5,1005.3,8.6,4.5,8,15.0,45.0,32.0,0.52,3.1,1
1,2021-02-15,208,2021-02-15,33.2,23.8,1022.9,8.9,4.9,8,999.9,37.9,27.0,0.0,7.9,1
